개수,위도,경도
2,37.58069,126.9717
2,37.57254,127.0086
3,37.58454,126.9965
3,37.60661,126.9585
2,37.58771,126.9976
2,37.57678,127.0201
3,37.57145,126.9794
3,37.57906,127.0155
2,37.58504,126.9971
3,37.58179,127.0024
3,37.58386,126.9666
2,37.58447,126.9697
3,37.57458,127.0119
2,37.57151,126.9798
3,37.57655,126.9657
2,37.57414,127.0093
3,37.57899,126.9706
2,37.57376,126.9601
4,37.5719,127.0193
3,37.57762,127.0109
3,37.58664,126.9685
4,37.58739,126.9649
2,37.58967,127.0021
3,37.58026,126.9857
2,37.58619,126.9997
2,37.58337,126.9642
2,37.5723,127.0069
3,37.57539,127.0066
2,37.58268,126.9681
4,37.58826,126.9653
4,37.59004,127.0001
3,37.57726,126.9841
4,37.58533,126.9654
3,37.59467,126.9723
2,37.57201,126.9948
2,37.58861,126.9662
3,37.59121,126.9938
3,37.60903,126.9764
2,37.56899,126.9765
3,37.58315,126.9624
3,37.58987,126.9843
17,37.57112,126.9879
4,37.5723,126.9704
2,37.57113,127.0119
3,37.57764,127.0083
2,37.57151,127.0001
2,37.57735,127.0181
3,37.5701,126.9794
3,37.5785,126.9644
3,37.5716,127.0079
3,37.57161,126.9658
2,37.57421,127.0079
3,37.57974,126.9635
3,37.593,126.9608
2,37.57965,126.9642
2,37.61313,126.9559
3,37.57827,126.9563
3,37.57935,127.0087
2,37.60089,126.9598
2,37.57022,127.0182
2,37.58268,127.0039
3,37.61261,126.9702
2,37.572,126.9958
2,37.57987,127.0039
3,37.5722,126.974
3,37.58138,126.9999
3,37.57714,126.9683
4,37.57173,127.0092
3,37.57009,127.0156
3,37.58762,126.9642
2,37.60515,126.9627
3,37.57995,126.9657
3,37.57585,126.9712
2,37.57497,126.9854
3,37.57262,126.9874
3,37.59027,126.9683
3,37.57338,127.0191
3,37.60366,126.9606
3,37.57108,126.9736
1,37.57293,126.9862
3,37.59096,126.964
2,37.58564,126.9839
3,37.57722,127.0204
2,37.58421,126.9713
3,37.58045,126.9657
3,37.59227,126.9646
1,37.5759,127.0068
4,37.57889,126.955
4,37.5782,126.9591
3,37.58144,126.9847
3,37.58103,127.0065
3,37.58418,126.9717
4,37.59058,126.9909
3,37.57351,126.9881
4,37.57815,127.021
3,37.5761,127.0111
3,37.57259,126.9691
2,37.56994,126.9904
3,37.59425,126.9683
3,37.58221,126.9673
2,37.60249,126.9612
3,37.57865,127.0162
2,37.61278,126.959
2,37.57569,127.0124
3,37.57807,126.9889
3,37.58568,126.9641
2,37.57277,126.9912
2,37.58756,126.9983
3,37.58221,126.9682
4,37.57529,127.017
1,37.57492,127.0191
3,37.59001,126.9907
3,37.58655,126.964
3,37.57577,127.0006
3,37.57726,126.9593
2,37.58422,126.9985
2,37.57715,127.0182
3,37.59214,126.9854
1,37.60028,126.958
2,37.57411,127.0157
3,37.57898,127.0177
2,37.58885,126.9976
3,37.5836,127.0041
3,37.57669,127.0168
3,37.57137,126.9799
3,37.57226,127.0107
2,37.59128,126.9904
3,37.59447,126.9709
2,37.58739,126.9971
4,37.57371,126.9892
4,37.57438,127.0025
1,37.6072,126.9724
2,37.5762,126.973
2,37.57767,127.018
3,37.58955,126.9852
3,37.57875,126.9646
3,37.57768,127.0227
3,37.57732,127.0195
2,37.58453,126.9978
3,37.59081,126.9915
3,37.57426,127.0124
3,37.5804,126.9637
3,37.61401,126.9597
3,37.57517,126.9646
2,37.57359,127.0112
3,37.5755,126.9892
3,37.57002,126.9692
3,37.57151,126.9655
3,37.60708,126.9623
2,37.59233,126.9613
3,37.58249,126.9868
2,37.58882,126.9665
3,37.57163,127.0166
2,37.57776,127.013
6,37.5747,126.9627
3,37.58004,126.9639
3,37.58946,126.9935
4,37.57911,126.9697
3,37.58367,127.0014
3,37.58045,127.0057
3,37.57678,127.0146
5,37.5746,126.9898
4,37.57352,127.0086
5,37.59258,126.9665
3,37.57762,127.0105
2,37.5904,126.9933
2,37.58042,126.9868
2,37.57629,127.0175
2,37.57148,126.9961
3,37.58148,126.9634
2,37.57569,127.0124
4,37.58484,126.9987
3,37.57155,126.9749
3,37.57972,127.0176
4,37.5746,127.0189
2,37.58004,126.9578
2,37.57847,127.0052
4,37.57179,126.965
3,37.58426,126.9643
3,37.57125,127.0178
2,37.57828,127.018
2,37.5738,126.9702
3,37.57803,126.9668
3,37.60117,126.9628
4,37.57427,127.0219
3,37.58347,126.9848
3,37.5823,126.972
3,37.57351,126.9706
3,37.57914,126.9626
2,37.57685,127.0209
3,37.57686,127.0033
3,37.57829,127.0176
2,37.5874,126.9669
3,37.57069,127.0119
4,37.57416,127.0131
3,37.6037,126.9599
4,37.60577,126.9643
2,37.58042,127.002
4,37.57568,126.9572
3,37.57738,127.0216
1,37.57696,127.0136
3,37.57924,127.001
4,37.56911,126.998
4,37.57662,126.9656
2,37.58068,126.9728
3,37.58422,126.9718
3,37.59558,126.9647
2,37.57711,127.008
3,37.575,127.0052
3,37.58222,126.9683
3,37.57126,126.9904
2,37.5782,126.9883
3,37.5765,127.0115
3,37.57361,127.0144
3,37.60156,126.9777
2,37.59139,126.9954
3,37.57028,126.9685
2,37.57362,126.9639
2,37.58258,126.9626
2,37.58267,126.9688
2,37.59061,126.9914
2,37.58833,126.9997
3,37.57532,126.9636
3,37.57137,126.9799
3,37.59044,126.9626
4,37.56856,126.9858
3,37.58663,126.9668
2,37.59725,126.9674
3,37.57419,126.9618
3,37.59493,126.9729
3,37.56974,126.9844
2,37.57135,126.991
3,37.57284,126.9683
3,37.61121,126.9701
3,37.58477,126.9794
3,37.59117,126.9909
2,37.57527,127.0177
2,37.57692,127.0138
3,37.57524,126.9984
2,37.59111,126.9933
4,37.57292,127.0052
1,37.5838,127.0059
2,37.57648,126.9592
4,37.577,127.0189
3,37.60121,126.979
4,37.59118,126.9904
3,37.57657,127.0227
5,37.57604,127.022
2,37.57197,126.9938
2,37.57951,127.0103
1,37.59036,126.9951
3,37.6065,126.968
2,37.56927,126.9776
3,37.57049,126.9775
4,37.58446,126.9644
4,37.57391,126.9904
4,37.5988,126.9566
3,37.61346,126.9781
2,37.60577,126.9652
2,37.58422,126.9718
2,37.58466,126.9969
3,37.573,126.9832
4,37.57399,126.9699
3,37.58755,126.9683
3,37.57817,126.9642
3,37.57137,126.9799
2,37.57566,127.0181
2,37.57117,126.965
2,37.58326,126.9646
4,37.61435,126.9661
2,37.57416,127.001
3,37.58253,126.9882
3,37.60601,126.9577
2,37.57868,126.9883
2,37.57251,126.9889
2,37.57034,127.0162
3,37.59474,126.9718
2,37.57794,127.0204
3,37.57578,127.0066
3,37.57036,126.9856
3,37.57707,127.0162
3,37.57832,126.9889
3,37.57458,127.0162
2,37.57938,127.0064
3,37.60191,126.9571
3,37.57561,127.0004
5,37.59046,126.9939
3,37.57769,126.9837
3,37.5718,127.0059
3,37.61274,126.9706
2,37.57968,127.0151
5,37.57571,127.0207
4,37.57506,126.9656
3,37.57744,127.0206
2,37.58233,126.9836
3,37.57311,126.9901
3,37.57293,126.9862
2,37.57227,126.9666
3,37.57084,126.9917
2,37.57812,127.0128
2,37.61264,126.9704
2,37.57161,126.9943
4,37.58463,126.996
3,37.58466,126.9961
2,37.57695,127.0184
2,37.57199,126.991
2,37.56959,126.9809
3,37.60045,126.9734
3,37.57711,127.0096
3,37.58275,126.9968
4,37.57288,126.9895
3,37.57145,126.9653
2,37.58857,126.9841
2,37.57995,127.0054
3,37.57927,127.008
3,37.58245,126.9884
2,37.57553,127.0166
2,37.60845,126.973
3,37.57301,126.9882
3,37.59141,126.9849
2,37.56931,126.9933
2,37.57515,126.9688
3,37.58422,126.9718
2,37.57605,127.0079
2,37.58306,127.0049
3,37.59106,126.9847
2,37.58251,126.9639
3,37.57046,127.004
3,37.57145,126.9794
6,37.58756,126.9997
2,37.5804,126.9721
3,37.60628,126.9703
2,37.57855,126.9729
2,37.57628,126.998
2,37.58089,126.9658
3,37.57157,126.9798
3,37.60254,126.9821
2,37.57326,127.0022
2,37.58584,126.9717
3,37.57388,126.9611
3,37.57727,127.0116
3,37.57822,126.9637
2,37.5781,127.0178
3,37.606,126.9566
2,37.57962,126.9893
3,37.60961,126.9633
3,37.57594,126.9896
3,37.58368,126.9619
3,37.57734,126.9918
4,37.58339,126.9647
4,37.58149,126.9885
3,37.58703,126.9677
4,37.57764,126.9573
3,37.60669,126.9662
2,37.57339,126.9613
2,37.5811,126.9822
3,37.59467,126.97
3,37.59906,126.9593
2,37.57641,126.9892
1,37.57293,126.9862
3,37.57107,126.9857
3,37.57684,126.9909
3,37.61392,126.9536
3,37.59978,126.975
4,37.57382,126.9672
2,37.5772,127.0178
3,37.57878,127.0087
3,37.57878,127.0148
3,37.57613,127.007
4,37.58605,127.0008
2,37.61107,126.9627
2,37.58784,126.9993
2,37.60568,126.9651
2,37.56924,126.9746
3,37.57405,127.0053
3,37.57022,126.966
3,37.60731,126.9724
3,37.58395,126.9722
3,37.58546,126.9974
3,37.57093,127.0106
3,37.60164,126.9614
4,37.57676,127.0102
3,37.5855,126.9707
3,37.57595,127.0092
3,37.58617,126.9698
3,37.61498,126.9748
3,37.60071,126.9597
1,37.60338,126.962
2,37.60671,126.9552
3,37.58077,126.9885
2,37.59417,126.9687
3,37.6015,126.9806
2,37.57214,127.0195
5,37.5696,126.9868
2,37.57563,127.014
2,37.5787,127.0085
2,37.57123,126.972
1,37.58242,126.988
2,37.57362,126.9639
3,37.5897,126.993
4,37.56917,126.9725
3,37.56926,126.975
2,37.5746,126.9652
3,37.58513,126.9701
3,37.60633,126.9636
2,37.58758,126.9958
2,37.57654,127.0173
2,37.58681,126.9978
3,37.57344,127.0062
3,37.59185,126.9926
3,37.5896,126.996
3,37.57915,127.0165
3,37.57505,127.0061
2,37.59081,126.9958
3,37.56871,126.9645
2,37.58338,126.9799
2,37.57629,127.0059
2,37.56874,126.9949
3,37.60684,126.9716
3,37.58385,126.9796
3,37.57779,127.0196
4,37.57467,127.0196
2,37.61485,126.9744
3,37.57341,126.963
2,37.56991,126.9955
3,37.5751,126.9969
3,37.60112,126.9759
2,37.59393,126.9668
3,37.57251,126.9739
3,37.57151,127.004
3,37.58841,126.996
3,37.58182,126.9731
3,37.59279,126.9641
5,37.57326,126.9917
2,37.59093,126.9663
2,37.58836,126.9984
2,37.58904,126.9956
2,37.57694,127.022
3,37.5776,127.0091
2,37.60784,126.958
3,37.57439,127.0103
3,37.57167,126.9758
3,37.5748,126.9619
2,37.61259,126.9589
2,37.57221,127.0037
3,37.5691,126.9676
2,37.57519,126.9888
3,37.59321,126.9666
3,37.57657,127.0196
2,37.58092,126.9648
3,37.57272,127.018
1,37.58059,126.9822
2,37.59216,126.9961
2,37.58024,127.0056
2,37.57312,126.9898
3,37.58101,126.9623
3,37.5774,127.0147
1,37.58427,126.9986
3,37.57145,126.9794
4,37.58266,126.981
4,37.57461,126.9631
3,37.58341,127.0055
3,37.57773,127.0081
3,37.61214,126.9785
3,37.57181,127.0184
2,37.57385,126.9811
1,37.60028,126.9619
3,37.58883,126.9628
4,37.57308,126.9716
3,37.59228,126.9657
3,37.57791,126.9556
3,37.57695,126.9729
2,37.57877,126.9629
3,37.59018,126.9908
3,37.57566,126.9909
4,37.57051,126.9763
2,37.57619,127.005
2,37.5722,126.9717
3,37.57766,126.9804
3,37.57157,126.9798
5,37.5697,126.9886
2,37.58296,127.0051
2,37.59128,126.9945
4,37.57375,126.9625
2,37.58785,126.9843
3,37.57255,126.991
2,37.58045,126.9649
4,37.57954,126.9713
2,37.57792,127.0203
2,37.58945,126.9653
4,37.58902,126.9947
2,37.59017,126.9985
2,37.57525,127.0181
3,37.58958,126.9949
2,37.58679,127.0019
3,37.59008,126.9931
2,37.5687,126.9944
3,37.57308,127.0226
2,37.61129,126.9639
6,37.58131,126.9668
3,37.60481,126.9655
3,37.57621,127.0227
3,37.57722,126.9917
3,37.60518,126.9639
4,37.6017,126.9802
3,37.59231,126.9647
3,37.57594,127.0175
3,37.57563,127.0196
2,37.58325,127.0059
3,37.58007,126.9669
3,37.60764,126.9615
4,37.58361,126.9978
2,37.61018,126.9647
2,37.57381,127.0175
3,37.57088,126.9737
3,37.5742,127.0166
2,37.58174,127.0009
2,37.57716,126.9688
2,37.59728,126.9662
3,37.60223,126.982
2,37.58823,127.0025
3,37.59364,126.9616
3,37.57012,126.9656
2,37.57888,126.9626
5,37.57327,126.9908
3,37.56937,126.9792
3,37.58944,127.0006
2,37.57673,127.0085
2,37.5801,126.9705
1,37.57705,126.9729
3,37.60526,126.9602
3,37.57543,127.0152
3,37.5735,127.0139
3,37.60475,126.9854
3,37.58403,127.0058
3,37.57861,126.9815
3,37.57659,127.0066
3,37.57755,126.96
1,37.57356,127.0167
3,37.58728,126.999
1,37.57173,126.987
2,37.5778,127.006
3,37.5833,126.9692
2,37.57266,126.9886
3,37.581,126.963
4,37.58906,126.9648
4,37.58181,126.9843
3,37.57708,126.9916
3,37.58231,126.9647
4,37.58597,126.9654
3,37.57859,127.0103
2,37.58254,126.964
3,37.58039,126.9622
4,37.60675,126.9683
2,37.57733,127.0198
3,37.57145,126.9794
3,37.57399,126.965
2,37.57306,127.0087
2,37.58662,126.9941
3,37.5721,126.972
3,37.57588,127.001
2,37.57551,127.0184
3,37.57209,126.9717
3,37.58125,126.963
3,37.58055,126.9819
3,37.59034,126.9843
3,37.5784,126.989
3,37.59162,126.9923
2,37.57105,126.9878
3,37.58822,126.981
3,37.59084,127.0004
3,37.57599,127.0179
2,37.57873,127.0084
2,37.57881,126.9699
4,37.58365,126.9679
3,37.6037,126.9595
4,37.58715,126.9649
3,37.57536,127.0217
4,37.57452,127.0086
3,37.57741,127.0132
2,37.57154,127.0185
4,37.58143,126.9709
3,37.57677,127.0026
3,37.58988,126.9957
2,37.57843,127.0148
3,37.57725,126.9587
2,37.57714,126.9608
4,37.58671,126.965
3,37.57832,126.9889
3,37.58982,126.9977
2,37.57145,126.9933
3,37.57437,126.999
3,37.57863,126.9888
3,37.5897,126.9639
2,37.57356,126.9904
2,37.58217,126.9637
5,37.58946,126.9857
3,37.57832,126.9559
3,37.58881,127.0003
3,37.57501,126.9583
3,37.5749,127.0168
3,37.57906,126.9683
3,37.58394,126.9833
2,37.60481,126.9655
2,37.5729,126.9611
3,37.57229,126.9903
4,37.57983,126.9649
2,37.57866,126.9889
2,37.57675,127.013
2,37.59805,126.9671
3,37.59709,126.9617
2,37.58606,126.9976
2,37.57447,127.0225
3,37.57712,126.9699
3,37.58319,126.997
3,37.56984,126.9808
2,37.57365,126.9969
3,37.57809,127.0158
4,37.58023,127.0105
3,37.57425,126.9627
3,37.57629,127.0177
4,37.5775,126.9582
3,37.58809,127.0013
3,37.57062,126.9894
2,37.57835,126.9631
3,37.5994,126.9562
2,37.5769,127.0045
3,37.58012,127.0013
2,37.57165,126.9738
3,37.58212,126.9641
1,37.57499,127.0185
3,37.59998,126.9727
2,37.60072,126.958
3,37.58157,126.9649
3,37.57347,127.0124
2,37.5833,126.9661
2,37.58497,126.9666
2,37.576,127.0128
3,37.60584,126.96
2,37.58877,126.966
2,37.59115,126.9953
4,37.57593,127.023
3,37.59022,126.9915
2,37.61069,126.9779
2,37.57852,126.9631
3,37.57771,126.9608
2,37.57237,127.0021
3,37.60108,126.9784
2,37.58939,126.9948
4,37.58046,126.9687
3,37.57362,127.0166
2,37.58273,126.9615
2,37.57173,126.987
3,37.57785,126.9552
3,37.58395,126.9648
3,37.57145,126.9794
3,37.59048,126.9976
3,37.59127,126.9913
2,37.56955,126.9774
3,37.57192,126.9829
2,37.57975,127.002
2,37.57843,127.0177
3,37.57865,126.9736
2,37.5724,126.9718
3,37.57968,127.0096
3,37.57396,126.9636
2,37.57791,127.0131
2,37.57203,126.972
2,37.550378,127.013653
4,37.557861,126.977124
4,37.560704,127.001339
1,37.566779,126.97733
4,37.559781,126.987521
2,37.555855,126.966003
3,37.563003,126.993986
1,37.553665,127.004437
4,37.562127,127.022105
2,37.56389,127.000153
5,37.5517,127.007
5,37.56893,127.012124
10,37.56454,127.02379
2,37.555245,127.01144
4,37.5544,127.0099
3,37.550857,127.006383
4,37.57039,127.0196
4,37.562307,127.018133
3,37.552379,127.004798
1,37.564182,127.009885
3,37.563107,127.000526
4,37.550929,127.007092
5,37.562185,127.001161
3,37.56359,127.0139
4,37.5591,127.0028
2,37.55637,126.9784
3,37.551676,127.011536
5,37.561815,126.977479
3,37.56701,127.0189
4,37.557249,126.983549
2,37.561574,127.018741
5,37.5592,127.0058
2,37.556864,126.980859
2,37.555718,126.981016
3,37.561419,126.984108
1,37.562797,127.001098
2,37.562603,127.0142
4,37.556631,126.965118
4,37.555859,127.016294
2,37.556097,127.015566
2,37.554,127.0053
2,37.56383,127.0181
3,37.551275,127.005108
2,37.55124,127.004
4,37.558581,126.986602
1,37.559095,126.986294
3,37.553381,126.997066
3,37.5677,127.0041
2,37.569035,127.018076
5,37.558545,126.98442
5,37.56921,126.974368
2,37.559231,127.001108
3,37.554424,127.004995
5,37.562454,127.020126
3,37.55277,127.0079
4,37.568354,127.019666
5,37.559777,126.979994
3,37.5611,127.0111
1,37.567173,126.976304
3,37.5637,127.0262
2,37.568163,126.980836
5,37.5616,127.0138
5,37.559099,126.969099
4,37.567776,127.008683
1,37.56776,127.0182
4,37.565216,127.006373
3,37.557572,127.017005
2,37.5611,127.007
5,37.568039,127.01889
3,37.562913,127.025051
1,37.559117,126.967446
3,37.554296,127.008007
4,37.5523,126.962294
1,37.563182,127.014153
1,37.564691,127.013191
4,37.5581,127.0191
4,37.56348,127.012016
4,37.55556,126.9673
1,37.556236,126.973279
3,37.565786,127.005579
2,37.563095,127.008759
3,37.55909,127.0164
4,37.552685,126.963348
1,37.564206,127.019245
1,37.568052,126.971745
3,37.560547,127.014972
4,37.552037,127.014082
2,37.56089,127.0201
3,37.552154,127.00897
1,37.56434,127.009974
3,37.548794,127.010394
1,37.561206,127.003482
3,37.55905,126.997305
4,37.552256,127.00574
5,37.567535,127.020951
3,37.563385,127.00901
2,37.557949,126.995473
4,37.562531,126.993532
4,37.554609,126.974119
3,37.54884,127.0068
3,37.563573,126.997208
1,37.563829,126.972444
2,37.56201,127.0098
3,37.55398,127.0059
4,37.5568,126.9858
1,37.559117,126.967446
3,37.569127,127.022259
1,37.568815,127.001822
3,37.562852,127.021595
1,37.560575,126.976002
3,37.55983,127.012177
18,37.567912,127.014684
3,37.5699,127.017
4,37.563643,127.021828
4,37.560715,126.977314
4,37.563018,127.02285
5,37.562622,127.011896
4,37.545869,127.008628
4,37.566732,127.015689
1,37.556591,126.978695
1,37.568029,126.971533
4,37.563925,126.990176
4,37.5513,127.0072
4,37.556925,126.984112
3,37.559944,126.974937
1,37.562135,126.99121
2,37.563704,127.010955
4,37.563894,127.018922
5,37.56093,127.013312
4,37.561631,127.000218
2,37.56215,127.0124
4,37.562929,126.973087
3,37.555424,126.980682
2,37.558645,127.015347
5,37.564416,127.000376
3,37.559309,126.986045
4,37.557512,126.985225
1,37.559502,126.975937
1,37.563352,127.007805
3,37.552573,126.962836
4,37.5582,126.9745
2,37.568213,126.984877
3,37.557495,127.015358
3,37.550727,127.005779
