개수,위도,경도
1,37.585125,127.073469
1,37.585104,127.073358
1,37.585081,127.073209
1,37.585055,127.073057
1,37.585029,127.072916
1,37.585003,127.072786
1,37.58498,127.07264
1,37.58496,127.072524
1,37.501568,126.869548
1,37.501407,126.869477
1,37.501247,126.869412
1,37.501096,126.869353
1,37.500927,126.869283
1,37.500744,126.869196
1,37.500521,126.869312
1,37.500699,126.869385
1,37.500879,126.869467
1,37.501047,126.869539
1,37.501215,126.869611
1,37.501372,126.869677
1,37.501528,126.869738
1,37.499065,126.871432
1,37.499187,126.870866
1,37.499326,126.870233
1,37.499466,126.869603
1,37.499575,126.869102
1,37.499316,126.868901
1,37.499183,126.869499
1,37.499044,126.870132
1,37.498899,126.870807
1,37.498738,126.871301
1,37.498977,126.871089
1,37.499114,126.870466
1,37.499246,126.869851
1,37.499402,126.869144
1,37.560119,126.807704
1,37.560511,126.807571
1,37.560964,126.807427
1,37.561948,126.807121
1,37.56241,126.806978
1,37.562588,126.806737
1,37.562143,126.806881
1,37.561129,126.8072
1,37.56067,126.807349
1,37.560278,126.807469
1,37.490119,126.869759
1,37.490665,126.869632
1,37.491195,126.869517
1,37.491764,126.869379
1,37.49233,126.869249
1,37.492911,126.869119
1,37.493481,126.868923
1,37.494029,126.868745
1,37.494603,126.868543
1,37.495179,126.868361
1,37.495739,126.868165
1,37.49626,126.868036
1,37.496792,126.867991
1,37.496777,126.867706
1,37.496227,126.867751
1,37.495735,126.86789
1,37.495172,126.868057
1,37.494586,126.868267
1,37.494028,126.86845
1,37.493452,126.868637
1,37.492877,126.86882
1,37.492294,126.868963
1,37.491758,126.869079
1,37.491178,126.869227
1,37.490625,126.869348
1,37.49011,126.869474
1,37.496538,126.867998
1,37.542644,127.120186
1,37.542709,127.119986
1,37.542768,127.119787
1,37.542841,127.119553
1,37.542914,127.119313
1,37.542985,127.119085
1,37.543055,127.118849
1,37.544255,127.119809
1,37.544069,127.119678
1,37.543894,127.11954
1,37.543725,127.119386
1,37.543563,127.119235
1,37.54343,127.119022
1,37.54331,127.118774
1,37.543257,127.118494
1,37.543249,127.118306
1,37.543328,127.117946
1,37.54347,127.117593
1,37.543567,127.117181
1,37.543716,127.116822
1,37.543819,127.116387
1,37.54399,127.115934
1,37.544101,127.115471
1,37.544257,127.115047
1,37.543047,127.119135
1,37.543172,127.119204
1,37.543304,127.119279
1,37.54343,127.119358
1,37.543568,127.119438
1,37.543694,127.119513
1,37.543806,127.119578
1,37.542808,127.119028
1,37.542704,127.118952
1,37.542598,127.118865
1,37.542498,127.11876
1,37.542386,127.118651
