개수,위도,경도,상세
1,37.4651386 ,127.1073750 ,파출소
1,37.5167467 ,126.8656595 ,경찰서
1,37.5351903 ,126.8785906 ,지구대
1,37.5445156 ,126.8623750 ,지구대
1,37.5202891 ,126.8607933 ,지구대
1,37.5244487 ,126.8635090 ,지구대
1,37.5197426 ,126.8349027 ,지구대
1,37.5320806 ,126.8322435 ,파출소
1,37.5149133 ,126.8550058 ,파출소
1,37.5390442 ,126.8306805 ,파출소
1,37.5259936 ,126.9010457 ,경찰서
1,37.5180146 ,126.9075396 ,지구대
1,37.5295940 ,126.9266700 ,지구대
1,37.5135703 ,126.8976399 ,지구대
1,37.4979795 ,126.9111478 ,지구대
1,37.5128742 ,126.9260395 ,지구대
1,37.5336195 ,126.9012880 ,지구대
1,37.4934202 ,126.8987265 ,지구대
1,37.5227185 ,126.8897017 ,파출소
1,37.4983297 ,126.8980767 ,파출소
1,37.5151247 ,126.9087325 ,파출소
1,37.5410571 ,126.9674000 ,경찰서
1,37.5386609 ,126.9655062 ,지구대
1,37.5491203 ,126.9784422 ,지구대
1,37.5242741 ,126.9706849 ,지구대
1,37.5342949 ,126.9944044 ,파출소
1,37.5310164 ,127.0062836 ,파출소
1,37.5268368 ,127.0001932 ,파출소
1,37.5361157 ,126.9747139 ,파출소
1,37.6281811 ,126.9286364 ,경찰서
1,37.6214600 ,126.9265859 ,지구대
1,37.6151923 ,126.9127048 ,지구대
1,37.6367356 ,126.9183299 ,파출소
1,37.6111425 ,126.9289875 ,파출소
1,37.5760033 ,126.9847107 ,경찰서
1,37.5705017 ,126.9889217 ,지구대
1,37.5689572 ,126.9881500 ,파출소
1,37.6000351 ,126.9584514 ,파출소
1,37.6047609 ,126.9654294 ,파출소
1,37.5814059 ,126.9811324 ,파출소
1,37.5767705 ,126.9740008 ,파출소
1,37.5841381 ,126.9705976 ,파출소
1,37.5814725 ,126.9694271 ,파출소
1,37.5722606 ,126.9611435 ,파출소
1,37.5689364 ,126.9764239 ,파출소
1,37.5707510 ,126.9722054 ,파출소
1,37.5759361 ,126.9672640 ,파출소
1,37.5725619 ,126.9789970 ,파출소
1,37.6020204 ,127.0322657 ,경찰서
1,37.6193708 ,127.0536030 ,지구대
1,37.6043982 ,127.0324129 ,지구대
1,37.6089690 ,127.0552581 ,파출소
1,37.6000864 ,127.0312535 ,파출소
1,37.6175742 ,127.1047529 ,경찰서
1,37.5990933 ,127.0956749 ,지구대
1,37.5979964 ,127.0722033 ,지구대
1,37.5799415 ,127.0810446 ,지구대
1,37.6147960 ,127.0955609 ,지구대
1,37.5882137 ,127.0939012 ,파출소
1,37.5831943 ,127.0841512 ,파출소
1,37.5913390 ,127.0728207 ,파출소
1,37.6146259 ,127.0815386 ,파출소
1,37.5635946 ,126.9897355 ,경찰서
1,37.5664707 ,127.0039404 ,지구대
