개수,위도,경도,소재지도로명주소,소재지지번주소
1,37.55719187,126.9788611,서울특별시 중구 퇴계로6길 27,서울특별시 중구 회현동1가 160-1
1,37.55738487,126.9789467,서울특별시 중구 퇴계로6길 25-7,서울특별시 중구 회현동1가 161-1
1,37.5573205,126.9791851,서울특별시 중구 퇴계로6길 25-10,서울특별시 중구 회현동1가 161-10
1,37.5572698,126.9783417,서울특별시 중구 퇴계로6길 22-8,서울특별시 중구 남창동 190-17
1,37.55715518,126.9783045,서울특별시 중구 퇴계로6길 22-7,서울특별시 중구 남창동 190-15
1,37.55734272,126.9780131,서울특별시 중구 퇴계로6길 22-15,서울특별시 중구 남창동 190-9
1,37.55721189,126.9780081,서울특별시 중구 퇴계로6길 22-11,서울특별시 중구 남창동 190-22
1,37.55735105,126.9787134,서울특별시 중구 퇴계로6길 21,서울특별시 중구 회현동1가 171-1
1,37.55747553,126.9785499,서울특별시 중구 퇴계로6길 17,서울특별시 중구 회현동1가 172-4
1,37.55762407,126.9783277,서울특별시 중구 퇴계로6길 14,서울특별시 중구 남창동 186
1,37.55762407,126.9783277,서울특별시 중구 퇴계로6길 14,서울특별시 중구 남창동 186
1,37.5564038,126.9776015,서울특별시 중구 퇴계로6가길 36-5,서울특별시 중구 남창동 205-84
1,37.55633796,126.9777154,서울특별시 중구 퇴계로6가길 36-2,서울특별시 중구 남창동 205-152
1,37.55633796,126.9777154,서울특별시 중구 퇴계로6가길 36-2,서울특별시 중구 남창동 205-152
1,37.5566152,126.9777392,서울특별시 중구 퇴계로6가길 36-10,서울특별시 중구 남창동 205-141
1,37.55631248,126.9778268,서울특별시 중구 퇴계로6가길 34,서울특별시 중구 남창동 205-123
1,37.55632358,126.9779126,서울특별시 중구 퇴계로6가길 32,서울특별시 중구 남창동 205-122
1,37.55657819,126.9778481,서울특별시 중구 퇴계로6가길 30-7,서울특별시 중구 남창동 205-18
1,37.55638427,126.9781941,서울특별시 중구 퇴계로6가길 26,서울특별시 중구 남창동 205-121
1,37.55640249,126.9783142,서울특별시 중구 퇴계로6가길 24,서울특별시 중구 남창동 205-94
1,37.55641629,126.9783877,서울특별시 중구 퇴계로6가길 22,서울특별시 중구 남창동 205-95
1,37.55641629,126.9783877,서울특별시 중구 퇴계로6가길 22,서울특별시 중구 남창동 205-95
1,37.55670152,126.9782153,서울특별시 중구 퇴계로6가길 12-7,서울특별시 중구 남창동 195-1
1,37.55664206,126.9782838,서울특별시 중구 퇴계로6가길 12-5,서울특별시 중구 남창동 195-1
1,37.55710633,126.978701,서울특별시 중구 퇴계로6가길 1,서울특별시 중구 남창동 192
1,37.55753845,126.9777282,서울특별시 중구 퇴계로4길 7,서울특별시 중구 남창동 168-8
1,37.55824638,126.980914,서울특별시 중구 퇴계로4길 69,서울특별시 중구 회현동1가 72-1
1,37.55814857,126.9805851,서울특별시 중구 퇴계로4길 65,서울특별시 중구 회현동1가 82
1,37.55814857,126.9805851,서울특별시 중구 퇴계로4길 65,서울특별시 중구 회현동1가 82
1,37.55779946,126.9802042,서울특별시 중구 퇴계로4길 53,서울특별시 중구 회현동1가 82-9
1,37.55760768,126.9804275,서울특별시 중구 퇴계로4길 52-8,서울특별시 중구 회현동1가 82-30
1,37.55777762,126.98054,서울특별시 중구 퇴계로4길 52-7,서울특별시 중구 회현동1가 82-7
1,37.55766161,126.9807512,서울특별시 중구 퇴계로4길 52-20,서울특별시 중구 회현동1가 82-14
1,37.557898,126.981144,서울특별시 중구 퇴계로4길 52-19,서울특별시 중구 회현동1가 76-4
1,37.55784825,126.9810358,서울특별시 중구 퇴계로4길 52-15,서울특별시 중구 회현동1가 76-17
1,37.55752679,126.980563,서울특별시 중구 퇴계로4길 52-12,서울특별시 중구 회현동1가 82-27
1,37.55770064,126.9802974,서울특별시 중구 퇴계로4길 52-1,서울특별시 중구 회현동1가 82-42
1,37.55770064,126.9802974,서울특별시 중구 퇴계로4길 52-1,서울특별시 중구 회현동1가 82-42
1,37.55757185,126.9800775,서울특별시 중구 퇴계로4길 50,서울특별시 중구 회현동1가 82-19
1,37.55745882,126.9798047,서울특별시 중구 퇴계로4길 46,서울특별시 중구 회현동1가 100-40
1,37.5575033,126.9796794,서울특별시 중구 퇴계로4길 42,서울특별시 중구 회현동1가 100-41
1,37.55765865,126.978719,서울특별시 중구 퇴계로4길 25,서울특별시 중구 회현동1가 176
1,37.55765865,126.978719,서울특별시 중구 퇴계로4길 25,서울특별시 중구 회현동1가 176
1,37.55765865,126.978719,서울특별시 중구 퇴계로4길 25,서울특별시 중구 회현동1가 176
1,37.55765865,126.978719,서울특별시 중구 퇴계로4길 25,서울특별시 중구 회현동1가 176
1,37.55742033,126.9781947,서울특별시 중구 퇴계로4길 16,서울특별시 중구 남창동 190-2
1,37.5575813,126.9779803,서울특별시 중구 퇴계로4길 11,서울특별시 중구 남창동 189
1,37.55703553,126.9950178,서울특별시 중구 퇴계로36나길 6,서울특별시 중구 필동2가 84-6
1,37.55667686,126.9935921,서울특별시 중구 퇴계로36나길 32,서울특별시 중구 필동2가 84-104
1,37.55675643,126.9937999,서울특별시 중구 퇴계로36나길 30,서울특별시 중구 필동2가 84-34
1,37.5563719,126.9940509,서울특별시 중구 퇴계로36나길 27-7,서울특별시 중구 필동2가 84-16
1,37.5563719,126.9940509,서울특별시 중구 퇴계로36나길 27-7,서울특별시 중구 필동2가 84-16
1,37.55683791,126.9942714,서울특별시 중구 퇴계로36나길 20,서울특별시 중구 필동2가 84-56
1,37.55618181,126.9944074,서울특별시 중구 퇴계로36나길 19-13,서울특별시 중구 필동2가 84-10
1,37.55618181,126.9944074,서울특별시 중구 퇴계로36나길 19-13,서울특별시 중구 필동2가 84-10
1,37.55618181,126.9944074,서울특별시 중구 퇴계로36나길 19-13,서울특별시 중구 필동2가 84-10
1,37.55667637,126.9945439,서울특별시 중구 퇴계로36나길 19-1,서울특별시 중구 필동2가 124-3
1,37.5570939,126.9947708,서울특별시 중구 퇴계로36나길 12,서울특별시 중구 필동2가 84-120
1,37.55594254,126.99526,서울특별시 중구 퇴계로36가길 98,서울특별시 중구 필동2가 128-16
1,37.55604147,126.9952131,서울특별시 중구 퇴계로36가길 96,서울특별시 중구 필동2가 128-3
1,37.55621048,126.9948955,서울특별시 중구 퇴계로36가길 90-7,서울특별시 중구 필동2가 123-25
1,37.55621102,126.9949938,서울특별시 중구 퇴계로36가길 90-5,서울특별시 중구 필동2가 123-10
1,37.55617749,126.9947138,서울특별시 중구 퇴계로36가길 90-11,서울특별시 중구 필동2가 123-27
1,37.55626554,126.9951737,서울특별시 중구 퇴계로36가길 90-1,서울특별시 중구 필동2가 123-7
1,37.55638844,126.9951232,서울특별시 중구 퇴계로36가길 90,서울특별시 중구 필동2가 123-1
1,37.55657414,126.9953708,서울특별시 중구 퇴계로36가길 83,서울특별시 중구 필동2가 121-3
1,37.55671531,126.9950237,서울특별시 중구 퇴계로36가길 82-4,서울특별시 중구 필동2가 124-8
1,37.55644779,126.9945915,서울특별시 중구 퇴계로36가길 82-13,서울특별시 중구 필동2가 124-6
1,37.55644779,126.9945915,서울특별시 중구 퇴계로36가길 82-13,서울특별시 중구 필동2가 124-6
1,37.55679065,126.9952499,서울특별시 중구 퇴계로36가길 80,서울특별시 중구 필동2가 124-1
1,37.55715348,126.9953799,서울특별시 중구 퇴계로36가길 74,서울특별시 중구 필동2가 120-5
1,37.55715348,126.9953799,서울특별시 중구 퇴계로36가길 74,서울특별시 중구 필동2가 120-5
1,37.55731043,126.9953246,서울특별시 중구 퇴계로36가길 70,서울특별시 중구 필동2가 120-1
1,37.55752344,126.9954587,서울특별시 중구 퇴계로36가길 64,서울특별시 중구 필동2가 116-3
1,37.55769291,126.9954784,서울특별시 중구 퇴계로36가길 60,서울특별시 중구 필동2가 116-1
1,37.55769291,126.9954784,서울특별시 중구 퇴계로36가길 60,서울특별시 중구 필동2가 116-1
1,37.55792699,126.9954293,서울특별시 중구 퇴계로36가길 50-3,서울특별시 중구 필동2가 110-8
1,37.55806467,126.9955623,서울특별시 중구 퇴계로36가길 50,서울특별시 중구 필동2가 109-2
1,37.55830552,126.9958989,서울특별시 중구 퇴계로36가길 43-6,서울특별시 중구 필동2가 107-6
1,37.55830552,126.9958989,서울특별시 중구 퇴계로36가길 43-6,서울특별시 중구 필동2가 107-6
1,37.55844029,126.9953978,서울특별시 중구 퇴계로36가길 42,서울특별시 중구 필동2가 104-4
1,37.55862841,126.9953182,서울특별시 중구 퇴계로36가길 38,서울특별시 중구 필동2가 104-1
1,37.55862841,126.9953182,서울특별시 중구 퇴계로36가길 38,서울특별시 중구 필동2가 104-1
1,37.55862841,126.9953182,서울특별시 중구 퇴계로36가길 38,서울특별시 중구 필동2가 104-1
1,37.55858074,126.9951065,서울특별시 중구 퇴계로36가길 36-8,서울특별시 중구 필동2가 103-3
1,37.55954227,126.9947387,서울특별시 중구 퇴계로34길 28,서울특별시 중구 필동2가 84-1
1,37.55954227,126.9947387,서울특별시 중구 퇴계로34길 28,서울특별시 중구 필동2가 84-1
1,37.55976688,126.9929144,서울특별시 중구 퇴계로34길 26,서울특별시 중구 필동2가 84-137
1,37.56022109,126.9931041,서울특별시 중구 퇴계로34길 16-4,서울특별시 중구 필동1가 32-8
1,37.56022839,126.9931792,서울특별시 중구 퇴계로34길 16,서울특별시 중구 필동1가 32-7
1,37.56068272,126.9925483,서울특별시 중구 퇴계로32길 6,서울특별시 중구 필동1가 29-1
1,37.55905644,126.9927218,서울특별시 중구 퇴계로32길 42-1,서울특별시 중구 예장동 1-21
1,37.55905644,126.9927218,서울특별시 중구 퇴계로32길 42-1,서울특별시 중구 예장동 1-21
1,37.55919338,126.9926403,서울특별시 중구 퇴계로32길 40-4,서울특별시 중구 예장동 1-19
1,37.55903759,126.9925365,서울특별시 중구 퇴계로32길 40-3,서울특별시 중구 예장동 1-20
1,37.55933385,126.9926295,서울특별시 중구 퇴계로32길 36-4,서울특별시 중구 예장동 1-16
1,37.55933385,126.9926295,서울특별시 중구 퇴계로32길 36-4,서울특별시 중구 예장동 1-16
1,37.5593553,126.9927221,서울특별시 중구 퇴계로32길 36,서울특별시 중구 예장동 1-35
1,37.55946818,126.9925847,서울특별시 중구 퇴계로32길 34,서울특별시 중구 예장동 1-14
1,37.5596045,126.9924677,서울특별시 중구 퇴계로32길 30-4,서울특별시 중구 예장동 1-12
1,37.55962243,126.9925837,서울특별시 중구 퇴계로32길 30,서울특별시 중구 예장동 1-34
1,37.55973469,126.9924646,서울특별시 중구 퇴계로32길 28,서울특별시 중구 예장동 1-69
1,37.55973469,126.9924646,서울특별시 중구 퇴계로32길 28,서울특별시 중구 예장동 1-69
1,37.55969439,126.9921175,서울특별시 중구 퇴계로32길 24-7,서울특별시 중구 예장동 1-9
1,37.5599055,126.9922489,서울특별시 중구 퇴계로32길 22,서울특별시 중구 예장동 1-4
1,37.56002274,126.9925296,서울특별시 중구 퇴계로32길 20-1,서울특별시 중구 필동2가 84-94
1,37.56145098,126.9921286,서울특별시 중구 퇴계로31길 5,서울특별시 중구 필동1가 10-7
1,37.55949247,126.9919995,서울특별시 중구 퇴계로30길 35-4,서울특별시 중구 예장동 1-94
1,37.55949247,126.9919995,서울특별시 중구 퇴계로30길 35-4,서울특별시 중구 예장동 1-94
1,37.55963618,126.9919298,서울특별시 중구 퇴계로30길 35-1,서울특별시 중구 예장동 1-91
1,37.56066306,126.9921889,서울특별시 중구 퇴계로30길 3-2,서울특별시 중구 필동1가 23-9
1,37.56066306,126.9921889,서울특별시 중구 퇴계로30길 3-2,서울특별시 중구 필동1가 23-9
